country_id,IMPORTANCE,REQ_SUCCESS_RATE,DIVINE_REQ_SUCCESS_RATE,REQ_SUCCESS,SCALER_REQ_SUCCESS_DRIFT,REQ_SUM,SCALER_REQ_SUM_DRIFT,DIVINE_REQ_SUCCESS,DIVINE_REQ_SUM,REQ_SUCCESS_RATE_DRIFT,REQ_SUCCESS_RATE_DRIFT_FLAG,COUNT,WARN_TIME,IS_REAL_ALARM
6,95,99.2,99.5,5115.0,0.2761348102668128,5156.0,0.17039791773266325,4141.0,4162.0,0.3,0.0,1,0,0
26,97,98.74,98.88,50137.0,0.09576635340065179,50775.0,0.05848941737328694,86670.0,87650.0,0.14,0.0,1,0,1
20,99,90.72,94.89,14846.0,0.20519185682042076,16365.0,0.1335715688960375,15197.0,16016.0,4.17,0.0,2,1,0
21,98,97.53,100.0,128935.0,0.16331964945088728,132198.0,0.11143265546652742,156390.0,148318.0,2.47,0.0,2,2,1
12,99,99.36,99.62,10953.0,0.24749326506475397,11023.0,0.15258050006028706,9685.0,9722.0,0.26,0.0,1,0,0
12,99,87.73,97.45,23401.0,0.24413638346570027,26673.0,0.1710328793500264,20918.0,21466.0,9.72,0.0,1,0,1
20,99,74.99,78.76,3107.0,0.16695784982224418,4143.0,0.10947966627951787,3709.0,4709.0,3.77,0.0,6,2,1
12,99,73.74,94.88,5906.0,0.19986901445955854,8009.0,0.12467826815877814,6168.0,8262.0,21.14,0.0,6,13,1
25,98,85.79,93.99,24316.0,0.18926209793519885,28345.0,0.13101921390950408,26462.0,28155.0,8.2,0.0,6,2,1
21,98,91.6,96.09,131159.0,0.13094524271614424,143185.0,0.07900099301185663,185628.0,204498.0,4.49,0.0,6,12,1
7,100,90.42,93.62,85877.0,0.21053791064009564,94976.0,0.1261591530196393,86190.0,97102.0,3.2,0.0,6,0,1
13,97,80.14,90.44,6745.0,0.2213622077258737,8416.0,0.13411043187120736,6512.0,8211.0,10.3,0.0,6,12,1
20,99,74.32,78.07,5284.0,0.1686778401488566,7110.0,0.11062143517529562,6261.0,8020.0,3.75,0.0,7,13,1
12,99,74.09,94.88,10899.0,0.17597591334707696,14710.0,0.11783928362298718,12520.0,15833.0,20.79,0.0,7,24,1
25,98,85.53,91.84,23512.0,0.21026792504808345,27490.0,0.12925916878655272,23621.0,27590.0,6.31,0.0,7,13,1
10,99,81.4,96.79,33794.0,0.15633826843189375,41517.0,0.11342455414709621,42294.0,45974.0,15.39,0.0,7,8,1
21,98,91.29,96.09,140157.0,0.19751618299962767,153526.0,0.1227738524508647,147696.0,160231.0,4.8,0.0,7,23,1
7,100,89.81,93.62,122512.0,0.18152478202737427,136414.0,0.1158810880234284,137541.0,148675.0,3.81,0.0,7,11,1
13,97,78.98,90.44,9206.0,0.20211436795996407,11656.0,0.130473115859368,9533.0,11615.0,11.46,0.0,7,1,1
12,99,98.94,98.83,20086.0,0.2390993409365855,20301.0,0.1466848749523806,18254.0,18471.0,0.11,1.0,1,1,0
5,95,99.91,99.64,4537.0,0.283597766396732,4541.0,0.17381072801452563,3594.0,3607.0,0.27,1.0,1,0,0
12,99,98.95,98.86,12511.0,0.25892291578440085,12644.0,0.15897393771150795,10670.0,10793.0,0.09,1.0,1,2,0
20,99,76.71,77.13,6903.0,0.19493757511920423,8999.0,0.12050402646262623,7347.0,9525.0,0.42,0.0,5,19,1
12,99,73.74,94.88,12982.0,0.21979454956174774,17604.0,0.13310565932917026,12603.0,17275.0,21.14,0.0,5,30,1
21,98,90.21,96.09,203204.0,0.224424671620116,225269.0,0.14283320274982872,194095.0,209285.0,5.88,0.0,5,29,1
7,100,88.29,93.62,126844.0,0.18849395227967752,143668.0,0.11792189397519308,138460.0,154555.0,5.33,0.0,5,17,1
13,97,79.57,90.44,10583.0,0.19728866839877243,13300.0,0.12377382977103528,11162.0,13796.0,10.87,0.0,5,7,1
20,99,67.09,76.9,19209.0,0.7177792778740417,28632.0,0.5132091314627892,6756.0,8785.0,9.81,0.0,1,1,1
10,99,94.79,99.9,62449.0,0.13805910560416887,65880.0,0.09117960049508311,85258.0,85342.0,5.11,0.0,1,0,1
13,97,96.58,95.77,9884.0,0.25742337033189844,10234.0,0.15656442857227565,8469.0,8843.0,0.81,1.0,1,0,0
12,99,74.45,94.88,6485.0,0.1693149302425763,8711.0,0.12012530548401136,7663.0,9242.0,20.43,0.0,3,6,1
21,98,90.84,96.09,190330.0,0.1980863141645563,209528.0,0.12932527708047062,200130.0,210208.0,5.25,0.0,3,6,1
13,97,80.13,90.44,5694.0,0.19304551870750908,7106.0,0.12645814679289302,6105.0,7252.0,10.31,0.0,3,6,1
20,99,80.38,90.78,6826.0,0.19391327880433953,8492.0,0.13952479632170522,7294.0,8035.0,10.4,0.0,7,0,1
12,99,83.9,96.75,7411.0,0.15211596377134276,8833.0,0.11352259634295889,9457.0,9775.0,12.85,0.0,7,0,1
26,97,92.53,98.48,88218.0,0.16940369675615194,95336.0,0.1130736264710629,104203.0,105813.0,5.95,0.0,7,0,1
10,99,95.29,99.18,70397.0,0.17976651941776745,73873.0,0.11635971550010954,79605.0,80266.0,3.89,0.0,7,0,1
21,98,93.55,98.39,237797.0,0.1839890862842119,254194.0,0.12075937285631994,264306.0,268624.0,4.84,0.0,7,0,1
7,100,89.41,98.27,106676.0,0.15546330854079213,119309.0,0.10861886457314224,134042.0,136395.0,8.86,0.0,7,0,1
13,97,88.28,97.95,8368.0,0.17277513950234738,9479.0,0.12189092889412396,9743.0,9947.0,9.67,0.0,7,0,1
20,99,90.59,94.18,14292.0,0.20385794508679492,15777.0,0.1316784415275316,14703.0,15611.0,3.59,0.0,2,2,0
21,98,97.99,100.0,131419.0,0.16912538548297473,134121.0,0.11393319048221695,155418.0,148028.0,2.01,0.0,2,3,1
15,91,99.31,99.13,14615.0,0.28675033989361065,14716.0,0.17593672264065557,11473.0,11574.0,0.18,1.0,1,0,0
21,98,96.86,97.26,92667.0,0.13483267403252094,95672.0,0.08299069437388949,128575.0,132200.0,0.4,0.0,1,9,1
20,99,92.39,90.56,8897.0,0.3324103914024613,9630.0,0.19971521001797768,6178.0,6822.0,1.83,1.0,1,0,0
